ID_Partido,Ciclo,Torneo,ID_Torneo,Fecha,Fase,Condicion,DT,Rival,Pts_pronosticados,Goles_anotados,Goles_recibidos,Disparos_realizados,Disparos_permitidos,xGF,xGC,xJG,xJE,xJP
189,2021-22,C-22,11,2022-02-07,REG,Visita,Juan Reynoso,León,1.42,1,0,6,14,1.13,1.37,0.30,0.28,0.41
190,2021-22,C-22,11,2022-02-12,REG,Local,Juan Reynoso,Necaxa,2.10,1,2,10,19,1.63,1.11,0.50,0.25,0.25
191,2021-22,C-22,11,2022-02-20,REG,Visita,Juan Reynoso,Toluca,1.68,4,1,11,9,2.35,0.45,0.83,0.13,0.04
192,2021-22,C-22,11,2022-02-27,REG,Local,Juan Reynoso,Santos Laguna,1.77,1,2,23,20,3.11,1.18,0.77,0.13,0.10
193,2021-22,C-22,11,2022-03-02,REG,Visita,Juan Reynoso,Tigres UANL,1.14,2,2,11,19,1.19,3.21,0.09,0.12,0.79
194,2021-22,C-22,11,2022-03-05,REG,Local,Juan Reynoso,Puebla,1.90,1,3,11,15,1.20,1.40,0.32,0.27,0.42
195,2021-22,C-22,11,2022-03-12,REG,Local,Juan Reynoso,Pumas Unam,1.88,2,1,16,13,1.40,1.20,0.41,0.27,0.32
196,2021-22,C-22,11,2022-03-20,REG,Visita,Juan Reynoso,Pachuca,1.19,0,1,10,14,0.90,1.10,0.29,0.31,0.40
197,2021-22,C-22,11,2022-04-02,REG,Local,Juan Reynoso,Atlas,1.69,1,0,6,13,0.58,0.57,0.29,0.43,0.28
198,2021-22,C-22,11,2022-04-09,REG,Visita,Juan Reynoso,Mazatlán FC,1.72,1,1,14,14,1.71,0.63,0.65,0.23,0.12
199,2021-22,C-22,11,2022-04-16,REG,Local,Juan Reynoso,Guadalajara,2.72,0,1,11,13,0.41,1.10,0.13,0.33,0.54
200,2021-22,C-22,11,2022-04-21,REG,Visita,Juan Reynoso,Querétaro,1.53,1,0,11,18,1.17,1.30,0.33,0.28,0.39
201,2021-22,C-22,11,2022-04-24,REG,Local,Juan Reynoso,Atlético San Luis,1.89,0,1,12,7,0.73,0.66,0.33,0.38,0.29
202,2021-22,C-22,11,2022-04-30,REG,Visita,Juan Reynoso,Club América,0.90,0,0,7,16,0.33,1.53,0.07,0.24,0.69
203,2021-22,C-22,11,2022-04-30,LIG,Local,Juan Reynoso,Necaxa,2.16,1,1,13,16,1.87,1.15,0.55,0.23,0.22
204,2021-22,C-22,11,2022-04-30,LIG,Local,Juan Reynoso,Tigres UANL,1.33,0,1,11,10,0.40,0.37,0.25,0.53,0.22
205,2021-22,C-22,11,2022-04-30,LIG,Visita,Juan Reynoso,Tigres UANL,0.93,1,0,10,21,1.51,1.47,0.39,0.25,0.36
206,2022-23,A-22,12,2022-07-02,REG,Visita,Diego Aguirre,Tigres UANL,0.99,3,2,7,21,1.91,2.62,0.27,0.21,0.52
207,2022-23,A-22,12,2022-07-09,REG,Local,Diego Aguirre,Pachuca,1.56,1,2,8,18,1.23,1.67,0.28,0.25,0.47
208,2022-23,A-22,12,2022-07-16,REG,Visita,Diego Aguirre,Atlas,1.24,2,3,18,13,1.16,1.60,0.27,0.25,0.48
209,2022-23,A-22,12,2022-07-23,REG,Local,Diego Aguirre,Puebla,1.80,2,2,20,10,1.80,0.42,0.72,0.20,0.07
210,2022-23,A-22,12,2022-07-26,REG,Visita,Diego Aguirre,Atlético San Luis,1.56,0,0,7,9,0.28,0.87,0.11,0.39,0.50
211,2022-23,A-22,12,2022-07-30,REG,Local,Diego Aguirre,Necaxa,1.87,1,0,7,17,1.34,1.39,0.36,0.27,0.37
212,2022-23,A-22,12,2022-08-06,REG,Visita,Diego Aguirre,Santos Laguna,1.29,0,4,12,17,1.23,1.79,0.25,0.24,0.51
213,2022-23,A-22,12,2022-08-14,REG,Local,Diego Aguirre,Toluca,1.82,2,3,14,16,1.37,2.93,0.13,0.17,0.69
214,2022-23,A-22,12,2022-08-17,REG,Local,Diego Aguirre,Tijuana,1.85,1,2,16,7,0.91,1.58,0.20,0.25,0.55
215,2022-23,A-22,12,2022-08-20,REG,Visita,Diego Aguirre,Club América,0.93,0,7,9,18,0.42,2.47,0.04,0.13,0.83
216,2022-23,A-22,12,2022-08-27,REG,Local,Raul Gutierrez,Querétaro,1.84,2,1,8,11,1.04,1.90,0.19,0.23,0.59
217,2022-23,A-22,12,2022-09-02,REG,Visita,Raul Gutierrez,FC Juárez,1.33,2,2,10,11,1.56,2.03,0.28,0.23,0.49
218,2022-23,A-22,12,2022-09-06,REG,Visita,Raul Gutierrez,Monterrey,0.72,2,3,3,11,0.28,1.61,0.05,0.21,0.73
219,2022-23,A-22,12,2022-09-11,REG,Local,Raul Gutierrez,Mazatlán FC,1.77,2,0,18,3,3.14,0.16,0.92,0.07,0.01
220,2022-23,A-22,12,2022-09-15,REG,Local,Raul Gutierrez,León,1.63,2,1,16,7,1.40,0.62,0.57,0.28,0.16
221,2022-23,A-22,12,2022-09-18,REG,Visita,Raul Gutierrez,Pumas Unam,1.34,2,1,11,22,1.82,1.95,0.36,0.23,0.41
222,2022-23,A-22,12,2022-10-01,REG,Local,Raul Gutierrez,Guadalajara,1.41,2,1,13,14,0.95,0.65,0.42,0.35,0.24
223,2022-23,A-22,12,2022-10-08,LIG,Local,Raul Gutierrez,León,1.85,1,0,19,13,2.39,0.70,0.76,0.16,0.08
224,2022-23,A-22,12,2022-10-12,LIG,Local,Raul Gutierrez,Monterrey,1.15,0,0,9,7,0.36,0.82,0.15,0.40,0.46
225,2022-23,A-22,12,2022-10-15,LIG,Visita,Raul Gutierrez,Monterrey,0.68,0,3,20,15,2.67,1.86,0.55,0.20,0.25
